|--Id--|--Issue--|-----Exe-----|-----Mem-----|--Wrbk--|--Commit--|
|  0   |    1    |   2  -  2   |   3  -  7   |   8    |     9    |
|  1   |    2    |   9  - 23   |   0  -  0   |   24   |    25    |
|  2   |    3    |   4  -  4   |   8  - 12   |   13   |    26    |
|  3   |    4    |  25  - 28   |   0  -  0   |   29   |    30    |
|  4   |    5    |   6  -  6   |  30  - 34   |   35   |    36    |
|  5   |    6    |   7  -  7   |   0  -  0   |   9    |    37    |
|  6   |    7    |   8  -  8   |   0  -  0   |   10   |    38    |
|  7   |    8    |  10  - 10   |   0  -  0   |   11   |    39    |
|  8   |    9    |  11  - 11   |   0  -  0   |   12   |    40    |
|  9   |   10    |  11  - 14   |   0  -  0   |   15   |    41    |
